INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
127, 1821, 333, 179, 508, 495, 485, 63 
128, 1864, 361, 136, 514, 488, 501, 61 
129, 1873, 356, 127, 499, 530, 488, 83 
130, 1804, 322, 196, 471, 487, 524, 35 
131, 1841, 357, 159, 507, 490, 487, 68 
132, 1814, 363, 186, 471, 494, 486, 69 
133, 1832, 330, 168, 518, 486, 498, 65 
134, 1863, 367, 137, 495, 497, 504, 77 
135, 1835, 340, 165, 501, 499, 495, 64 
136, 1831, 338, 169, 474, 490, 529, 54 
137, 1850, 309, 150, 539, 492, 510, 57 
138, 1860, 356, 140, 483, 502, 519, 64 
139, 1839, 334, 161, 497, 527, 481, 54 
140, 1839, 396, 161, 488, 469, 486, 73 
141, 1826, 348, 174, 553, 428, 497, 61 
142, 1840, 304, 160, 505, 514, 517, 81 
143, 1811, 314, 189, 491, 493, 513, 73 
144, 1856, 352, 144, 502, 527, 475, 73 
145, 1856, 354, 144, 497, 519, 486, 83 
146, 1815, 323, 185, 485, 484, 523, 50 
147, 1839, 317, 161, 512, 514, 496, 35 
148, 1886, 348, 114, 516, 507, 515, 77 
149, 1874, 375, 126, 541, 489, 469, 74 
150, 1855, 333, 145, 464, 509, 549, 48 
151, 1847, 312, 153, 539, 495, 501, 47 
152, 1818, 330, 182, 480, 536, 472, 79 
153, 1813, 343, 187, 483, 503, 484, 70 
154, 1873, 396, 127, 494, 502, 481, 76 
155, 1843, 341, 157, 476, 524, 502, 71 
156, 1838, 353, 162, 535, 488, 462, 75 
157, 1876, 367, 124, 510, 508, 491, 67 
158, 1866, 354, 134, 499, 531, 482, 63 
159, 1852, 336, 148, 484, 516, 516, 59 
160, 1845, 364, 155, 531, 454, 496, 70 
161, 1870, 374, 130, 500, 527, 469, 81 
162, 1857, 346, 143, 498, 526, 487, 62 
163, 1845, 350, 155, 486, 480, 529, 64 
164, 1848, 359, 152, 540, 453, 496, 72 
165, 1833, 359, 167, 479, 507, 488, 71 
166, 1836, 301, 164, 544, 519, 472, 58 
167, 1857, 346, 143, 512, 511, 488, 55 
168, 1857, 372, 143, 501, 513, 471, 66 
169, 1839, 334, 161, 521, 479, 505, 57 
170, 1877, 402, 123, 476, 511, 488, 67 
171, 1840, 313, 160, 503, 517, 507, 63 
172, 1838, 345, 162, 479, 488, 526, 62 
173, 1875, 340, 125, 515, 494, 526, 77 
174, 1878, 356, 122, 554, 482, 486, 56 
175, 1856, 356, 144, 504, 487, 509, 79 
176, 1831, 321, 169, 483, 500, 527, 72 
177, 1840, 323, 160, 550, 486, 481, 73 
178, 1843, 312, 157, 491, 492, 548, 65 
179, 1851, 370, 149, 490, 494, 497, 70 
180, 1833, 332, 167, 502, 497, 502, 45 
181, 1839, 363, 161, 501, 469, 506, 50 
182, 1837, 312, 163, 502, 530, 493, 64 
183, 1841, 303, 159, 517, 514, 507, 44 
184, 1827, 310, 173, 535, 495, 487, 49 
185, 1833, 354, 167, 487, 475, 517, 79 
186, 1836, 365, 164, 462, 495, 514, 49 
187, 1817, 322, 183, 492, 499, 504, 37 
188, 1870, 371, 130, 493, 510, 496, 62 
189, 1852, 336, 148, 477, 519, 520, 59 
190, 1869, 357, 131, 478, 517, 517, 73 
191, 1866, 323, 134, 525, 526, 492, 62 
192, 1863, 334, 137, 505, 499, 525, 74 
193, 1863, 334, 137, 529, 466, 534, 78 
194, 1840, 349, 160, 492, 524, 475, 64 
195, 1837, 364, 163, 481, 528, 464, 82 
196, 1834, 344, 166, 498, 524, 468, 55 
197, 1858, 359, 142, 493, 506, 500, 64 
198, 1867, 366, 133, 509, 477, 515, 51 
199, 1832, 327, 168, 511, 505, 489, 73 
200, 1854, 364, 146, 502, 508, 480, 60 
201, 1844, 353, 156, 483, 511, 497, 67 
202, 1824, 337, 176, 513, 496, 478, 42 
203, 1832, 337, 168, 522, 501, 472, 66 
204, 1785, 328, 215, 488, 488, 481, 73 
205, 1853, 369, 147, 485, 535, 464, 67 
206, 1841, 341, 159, 546, 444, 510, 81 
207, 1882, 363, 118, 524, 524, 471, 48 
208, 1822, 344, 178, 474, 511, 493, 67 
209, 1850, 345, 150, 506, 509, 490, 76 
210, 1834, 330, 166, 471, 500, 533, 74 
211, 1856, 370, 144, 512, 470, 504, 80 
212, 1826, 323, 174, 501, 498, 504, 48 
213, 1853, 339, 147, 497, 497, 520, 41 
214, 1853, 338, 147, 493, 505, 517, 64 
215, 1862, 331, 138, 509, 520, 502, 84 
216, 1834, 334, 166, 516, 480, 504, 49 
217, 1857, 331, 143, 487, 519, 520, 71 
218, 1836, 342, 164, 507, 506, 481, 61 
219, 1877, 359, 123, 485, 515, 518, 77 
220, 1830, 336, 170, 493, 479, 522, 41 
221, 1806, 339, 194, 479, 485, 503, 42 
222, 1854, 326, 146, 508, 513, 507, 57 
223, 1853, 313, 147, 520, 526, 494, 40 
224, 1814, 332, 186, 480, 502, 500, 71 
225, 1863, 314, 137, 528, 510, 511, 66 
