INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
127, 1892, 398, 108, 501, 503, 490, 74 
128, 1892, 386, 108, 516, 491, 499, 80 
129, 1889, 401, 111, 521, 471, 496, 69 
130, 1929, 425, 71, 505, 507, 492, 89 
131, 1907, 416, 93, 459, 519, 513, 82 
132, 1893, 398, 107, 505, 490, 500, 87 
133, 1895, 437, 105, 461, 489, 508, 83 
134, 1887, 406, 113, 517, 491, 473, 84 
135, 1908, 409, 92, 493, 495, 511, 84 
136, 1914, 419, 86, 519, 496, 480, 63 
137, 1896, 395, 104, 469, 496, 536, 86 
138, 1900, 367, 100, 529, 485, 519, 73 
139, 1897, 388, 103, 522, 496, 491, 84 
140, 1933, 431, 67, 483, 530, 489, 84 
141, 1925, 469, 75, 478, 463, 515, 84 
142, 1880, 412, 120, 509, 467, 492, 91 
143, 1914, 400, 86, 535, 471, 508, 82 
144, 1892, 369, 108, 492, 516, 515, 82 
145, 1923, 424, 77, 518, 502, 479, 86 
146, 1886, 394, 114, 487, 536, 469, 82 
147, 1926, 421, 74, 492, 491, 522, 87 
148, 1893, 393, 107, 507, 502, 491, 84 
149, 1927, 361, 73, 524, 513, 529, 78 
150, 1912, 425, 88, 482, 507, 498, 86 
151, 1924, 412, 76, 519, 481, 512, 85 
152, 1917, 370, 83, 520, 514, 513, 81 
153, 1909, 407, 91, 499, 522, 481, 84 
154, 1874, 377, 126, 500, 514, 483, 75 
155, 1879, 448, 121, 463, 503, 465, 61 
156, 1879, 376, 121, 489, 499, 515, 78 
157, 1918, 422, 82, 528, 500, 468, 85 
158, 1911, 406, 89, 526, 503, 476, 80 
159, 1922, 412, 78, 477, 535, 498, 83 
160, 1924, 402, 76, 491, 529, 502, 86 
161, 1910, 431, 90, 515, 466, 498, 78 
162, 1931, 445, 69, 514, 490, 482, 86 
163, 1917, 402, 83, 495, 541, 479, 73 
164, 1902, 406, 98, 500, 480, 516, 86 
165, 1927, 436, 73, 517, 479, 495, 89 
166, 1915, 421, 85, 508, 479, 507, 88 
167, 1914, 414, 86, 506, 514, 480, 78 
168, 1899, 375, 101, 517, 528, 479, 83 
169, 1916, 423, 84, 525, 485, 483, 88 
170, 1892, 404, 108, 515, 506, 467, 82 
171, 1936, 440, 64, 482, 501, 513, 88 
172, 1918, 427, 82, 479, 516, 496, 84 
173, 1908, 385, 92, 510, 492, 521, 83 
174, 1930, 404, 70, 486, 511, 529, 82 
175, 1901, 399, 99, 541, 469, 492, 78 
176, 1916, 399, 84, 528, 485, 504, 80 
177, 1927, 423, 73, 489, 511, 504, 80 
178, 1885, 378, 115, 532, 472, 503, 78 
179, 1918, 373, 82, 518, 500, 527, 84 
180, 1896, 403, 104, 486, 494, 513, 81 
181, 1921, 414, 79, 496, 491, 520, 86 
182, 1941, 452, 59, 523, 480, 486, 86 
183, 1901, 411, 99, 488, 497, 505, 85 
184, 1881, 356, 119, 511, 523, 491, 78 
185, 1932, 377, 68, 525, 515, 515, 83 
186, 1887, 420, 113, 489, 485, 493, 89 
187, 1922, 444, 78, 472, 494, 512, 87 
188, 1877, 377, 123, 499, 482, 519, 76 
189, 1943, 474, 57, 484, 508, 477, 82 
190, 1917, 394, 83, 486, 525, 512, 81 
191, 1914, 386, 86, 489, 510, 529, 78 
192, 1909, 393, 91, 500, 510, 506, 84 
193, 1916, 373, 84, 515, 518, 510, 85 
194, 1893, 366, 107, 499, 482, 546, 74 
195, 1909, 411, 91, 513, 490, 495, 90 
196, 1913, 432, 87, 480, 560, 441, 82 
197, 1923, 425, 77, 515, 488, 495, 84 
198, 1934, 445, 66, 477, 519, 493, 93 
199, 1939, 436, 61, 502, 503, 498, 86 
200, 1910, 409, 90, 515, 488, 498, 80 
201, 1905, 417, 95, 504, 507, 477, 80 
202, 1914, 427, 86, 479, 513, 495, 84 
203, 1892, 398, 108, 517, 503, 474, 76 
204, 1910, 410, 90, 526, 481, 493, 81 
205, 1902, 441, 98, 495, 485, 481, 77 
206, 1882, 410, 118, 484, 520, 468, 85 
207, 1913, 426, 87, 503, 505, 479, 78 
208, 1920, 394, 80, 545, 485, 496, 79 
209, 1903, 421, 97, 500, 506, 476, 75 
210, 1921, 431, 79, 484, 516, 490, 81 
211, 1908, 402, 92, 482, 500, 524, 87 
212, 1906, 384, 94, 497, 497, 528, 85 
213, 1902, 417, 98, 514, 485, 486, 84 
214, 1906, 394, 94, 504, 508, 500, 81 
215, 1899, 400, 101, 479, 476, 544, 73 
216, 1922, 395, 78, 510, 526, 491, 85 
217, 1901, 391, 99, 499, 500, 511, 83 
218, 1910, 397, 90, 512, 490, 511, 87 
219, 1920, 392, 80, 506, 509, 513, 79 
220, 1901, 395, 99, 486, 520, 500, 77 
221, 1884, 405, 116, 473, 496, 510, 57 
222, 1889, 390, 111, 497, 487, 515, 72 
223, 1910, 399, 90, 516, 512, 483, 76 
224, 1892, 361, 108, 511, 502, 518, 82 
225, 1870, 367, 130, 500, 513, 490, 77 
226, 1900, 398, 100, 492, 496, 514, 84 
227, 1886, 346, 114, 527, 508, 505, 81 
228, 1942, 430, 58, 501, 518, 493, 81 
229, 1927, 430, 73, 508, 497, 492, 71 
230, 1891, 382, 109, 498, 515, 496, 87 
231, 1899, 418, 101, 485, 515, 481, 89 
232, 1917, 417, 83, 521, 504, 475, 79 
233, 1898, 413, 102, 470, 507, 508, 74 
234, 1929, 452, 71, 499, 481, 497, 83 
235, 1918, 405, 82, 512, 518, 483, 79 
236, 1900, 410, 100, 486, 505, 499, 79 
237, 1900, 385, 100, 496, 516, 503, 81 
238, 1897, 391, 103, 515, 485, 506, 81 
239, 1910, 391, 90, 520, 491, 508, 83 
240, 1895, 364, 105, 498, 498, 535, 89 
241, 1913, 416, 87, 508, 489, 500, 63 
242, 1890, 379, 110, 510, 501, 500, 82 
243, 1921, 396, 79, 504, 516, 505, 89 
244, 1914, 411, 86, 493, 514, 496, 81 
245, 1896, 435, 104, 494, 491, 476, 84 
246, 1917, 398, 83, 560, 480, 479, 76 
247, 1891, 381, 109, 533, 497, 480, 79 
248, 1925, 409, 75, 503, 522, 491, 82 
249, 1883, 395, 117, 488, 525, 475, 84 
250, 1890, 398, 110, 475, 516, 501, 80 
251, 1919, 436, 81, 481, 505, 497, 91 
252, 1903, 388, 97, 491, 524, 500, 70 
253, 1876, 370, 124, 502, 500, 504, 72 
254, 1878, 372, 122, 480, 510, 516, 69 
255, 1891, 417, 109, 502, 512, 460, 79 
256, 1913, 399, 87, 529, 501, 484, 66 
257, 1909, 387, 91, 511, 466, 545, 73 
258, 1872, 401, 128, 497, 488, 486, 74 
259, 1916, 409, 84, 497, 508, 502, 75 
260, 1871, 375, 129, 486, 489, 521, 74 
261, 1921, 425, 79, 500, 477, 519, 71 
262, 1883, 353, 117, 488, 533, 509, 80 
263, 1902, 405, 98, 470, 505, 522, 81 
264, 1907, 424, 93, 499, 482, 502, 83 
265, 1926, 453, 74, 498, 481, 494, 81 
266, 1927, 385, 73, 510, 509, 523, 82 
267, 1947, 413, 53, 538, 497, 499, 84 
268, 1927, 452, 73, 497, 502, 476, 65 
269, 1931, 379, 69, 545, 475, 532, 73 
270, 1917, 448, 83, 493, 470, 506, 88 
271, 1883, 367, 117, 491, 494, 531, 82 
272, 1939, 416, 61, 513, 503, 507, 78 
273, 1904, 397, 96, 501, 480, 526, 86 
274, 1904, 411, 96, 491, 495, 507, 85 
275, 1895, 420, 105, 493, 489, 493, 69 
276, 1903, 409, 97, 514, 493, 487, 86 
277, 1901, 371, 99, 500, 489, 541, 80 
278, 1886, 379, 114, 511, 518, 478, 79 
279, 1898, 390, 102, 500, 517, 491, 77 
280, 1910, 390, 90, 498, 537, 485, 88 
281, 1931, 424, 69, 495, 494, 518, 89 
282, 1908, 448, 92, 478, 480, 502, 78 
283, 1906, 432, 94, 456, 507, 511, 79 
284, 1899, 382, 101, 557, 494, 466, 75 
285, 1894, 381, 106, 501, 489, 523, 80 
286, 1927, 409, 73, 495, 490, 533, 88 
287, 1919, 417, 81, 493, 518, 491, 86 
288, 1922, 383, 78, 511, 506, 522, 70 
289, 1932, 415, 68, 546, 533, 438, 81 
290, 1901, 387, 99, 527, 485, 502, 70 
291, 1878, 404, 122, 521, 464, 489, 85 
292, 1914, 408, 86, 468, 519, 519, 86 
293, 1918, 453, 82, 462, 482, 521, 85 
294, 1911, 409, 89, 502, 508, 492, 87 
295, 1896, 391, 104, 475, 504, 526, 78 
296, 1892, 396, 108, 494, 508, 494, 87 
297, 1911, 414, 89, 530, 470, 497, 80 
298, 1915, 424, 85, 503, 543, 445, 84 
299, 1890, 386, 110, 515, 468, 521, 77 
300, 1915, 400, 85, 496, 529, 490, 87 
301, 1911, 404, 89, 484, 559, 464, 86 
302, 1933, 436, 67, 522, 474, 501, 81 
303, 1923, 452, 77, 482, 440, 549, 80 
304, 1897, 424, 103, 479, 508, 486, 86 
305, 1889, 400, 111, 498, 505, 486, 79 
306, 1927, 413, 73, 523, 474, 517, 90 
307, 1889, 423, 111, 471, 515, 480, 78 
308, 1911, 358, 89, 515, 510, 528, 64 
309, 1914, 402, 86, 487, 509, 516, 88 
310, 1933, 390, 67, 513, 519, 511, 78 
311, 1898, 382, 102, 483, 529, 504, 78 
312, 1925, 412, 75, 493, 504, 516, 82 
313, 1912, 399, 88, 501, 496, 516, 79 
314, 1909, 473, 91, 459, 479, 498, 90 
315, 1924, 400, 76, 513, 504, 507, 81 
316, 1924, 427, 76, 524, 504, 469, 81 
317, 1907, 407, 93, 506, 517, 477, 82 
318, 1902, 392, 98, 492, 511, 507, 81 
319, 1879, 381, 121, 481, 502, 515, 84 
320, 1923, 376, 77, 520, 540, 487, 80 
321, 1922, 458, 78, 502, 484, 478, 83 
322, 1895, 432, 105, 480, 509, 474, 88 
323, 1914, 438, 86, 496, 512, 468, 70 
324, 1886, 399, 114, 488, 484, 515, 72 
325, 1909, 458, 91, 470, 486, 495, 86 
326, 1929, 425, 71, 510, 471, 523, 87 
327, 1929, 412, 71, 494, 510, 513, 78 
328, 1847, 365, 153, 488, 506, 488, 76 
329, 1864, 362, 136, 480, 475, 547, 69 
330, 1860, 354, 140, 511, 513, 482, 76 
331, 1927, 402, 73, 517, 516, 492, 76 
332, 1903, 371, 97, 509, 524, 499, 76 
333, 1938, 441, 62, 514, 497, 486, 84 
334, 1929, 437, 71, 509, 473, 510, 88 
335, 1881, 390, 119, 462, 519, 510, 85 
336, 1904, 406, 96, 495, 483, 520, 87 
337, 1926, 425, 74, 491, 485, 525, 83 
338, 1914, 414, 86, 510, 511, 479, 77 
339, 1914, 385, 86, 497, 507, 525, 80 
340, 1906, 412, 94, 471, 497, 526, 85 
341, 1905, 448, 95, 485, 467, 505, 84 
342, 1902, 421, 98, 499, 473, 509, 69 
343, 1923, 418, 77, 516, 504, 485, 83 
344, 1907, 440, 93, 476, 499, 492, 73 
345, 1906, 366, 94, 488, 495, 557, 75 
346, 1904, 393, 96, 508, 504, 499, 78 
347, 1910, 378, 90, 504, 513, 515, 83 
348, 1932, 414, 68, 538, 478, 502, 66 
349, 1918, 392, 82, 498, 538, 490, 88 
350, 1923, 419, 77, 502, 519, 483, 79 
351, 1885, 396, 115, 509, 479, 501, 88 
352, 1910, 437, 90, 520, 495, 458, 86 
353, 1906, 419, 94, 493, 506, 488, 85 
354, 1922, 404, 78, 496, 493, 529, 85 
355, 1915, 419, 85, 516, 464, 516, 88 
356, 1891, 363, 109, 505, 500, 523, 84 
357, 1882, 373, 118, 468, 499, 542, 61 
358, 1868, 374, 132, 467, 509, 518, 74 
359, 1877, 381, 123, 484, 511, 501, 73 
360, 1895, 413, 105, 490, 499, 493, 77 
361, 1874, 391, 126, 498, 502, 483, 78 
362, 1895, 367, 105, 506, 516, 506, 79 
363, 1935, 430, 65, 502, 494, 509, 84 
364, 1920, 420, 80, 504, 484, 512, 90 
365, 1924, 424, 76, 487, 501, 512, 87 
366, 1897, 440, 103, 486, 495, 476, 80 
367, 1890, 395, 110, 511, 482, 502, 77 
368, 1914, 395, 86, 524, 521, 474, 86 
369, 1915, 415, 85, 497, 479, 524, 86 
370, 1904, 395, 96, 495, 492, 522, 86 
371, 1918, 420, 82, 486, 509, 503, 84 
372, 1928, 413, 72, 498, 512, 505, 82 
373, 1929, 421, 71, 503, 503, 502, 78 
374, 1911, 384, 89, 492, 509, 526, 68 
375, 1900, 431, 100, 485, 486, 498, 84 
376, 1931, 423, 69, 490, 504, 514, 91 
377, 1918, 447, 82, 495, 473, 503, 84 
378, 1890, 410, 110, 454, 508, 518, 81 
379, 1909, 426, 91, 480, 515, 488, 78 
